order_id,customer_id,product_id,order_status,payment_id,order_date,shipping_id,is_old_customer,feedback,quantity,cost,age,gender,sku,product_type,unit_price,payment_method,payment_type,shipping_type,shipping_category,shipping_cost_level,revenue
1,1000,CHR102,Cancelled,3,2024-03-20,1,False,2,7,126.8240468,53,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Standard,Standard,Low,4172.63
2,1000,SCB101,Completed,5,2024-04-20,4,False,3,3,55.75928829,53,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Paypal,Online,Overnight,Fast Shipping,Very High,1100.94
3,1002,DSK103,Completed,3,2023-10-17,3,False,3,4,136.8895794,41,Male,OFFICEDESK_DSK103,Office Desk,691.88,Credit Card,Online,Express,Fast Shipping,High,2767.52
4,1002,CHR102,Completed,2,2024-08-09,4,True,2,4,125.2583178,41,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Cash,Offline,Overnight,Fast Shipping,Very High,2384.36
5,1003,CHR101,Completed,2,2024-05-21,3,True,5,2,4.189729272,75,Male,OFFICECHAIR_CHR101,Office Chair,488.35,Cash,Offline,Express,Fast Shipping,High,976.7
6,1004,CHR101,Completed,3,2024-05-26,1,False,5,4,3.770756345,41,Female,OFFICECHAIR_CHR101,Office Chair,488.35,Credit Card,Online,Standard,Standard,Low,1953.4
7,1005,BSF101,Completed,5,2024-01-30,4,False,3,9,69.02969117,25,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Paypal,Online,Overnight,Fast Shipping,Very High,1168.47
8,1005,DSK103,Completed,4,2024-06-24,4,False,3,9,121.6796261,25,Female,OFFICEDESK_DSK103,Office Desk,691.88,Debit Card,Online,Overnight,Fast Shipping,Very High,6226.92
9,1006,CHR102,Cancelled,4,2023-10-03,1,False,2,7,126.8240468,24,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Debit Card,Online,Standard,Standard,Low,4172.63
10,1006,DSK103,Completed,2,2024-01-01,3,True,3,9,136.8895794,24,Male,OFFICEDESK_DSK103,Office Desk,691.88,Cash,Offline,Express,Fast Shipping,High,6226.92
11,1006,SCB101,Completed,5,2024-06-25,4,True,3,10,55.75928829,24,Male,STORAGECAB_SCB101,Storage Cabinet,366.98,Paypal,Online,Overnight,Fast Shipping,Very High,3669.8
12,1007,CHR102,Cancelled,3,2023-11-07,4,False,2,9,125.2583178,35,Male,OFFICECHAIR_CHR102,Office Chair,596.09,Credit Card,Online,Overnight,Fast Shipping,Very High,5364.81
13,1008,BSF101,Completed,2,2023-09-25,3,False,3,4,77.65840257,66,Female,BOOKSHELF_BSF101,Bookshelf,129.83,Cash,Offline,Express,Fast Shipping,High,519.32
