customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_combined,segment,cluster,cluster_label
1000,157,1,1100.94,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1002,46,2,5151.88,5,4,4,544,544,Champions,1,High-Value Active
1003,126,1,976.7,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1004,121,1,1953.4,3,1,2,312,312,Potential Loyalists,3,Loyal Mid-Tier
1005,92,2,7395.39,4,4,5,445,445,Champions,1,High-Value Active
1006,91,2,9896.720000000001,4,4,5,445,445,Champions,1,High-Value Active
1008,365,1,519.32,1,1,1,111,111,Hibernating,2,Occasional Buyers
1011,79,1,5960.900000000001,4,1,5,415,415,New Customers,3,Loyal Mid-Tier
1014,129,1,3576.54,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1015,22,1,1953.4,5,1,2,512,512,New Customers,3,Loyal Mid-Tier
1016,79,1,2441.75,4,1,3,413,413,New Customers,3,Loyal Mid-Tier
1018,63,1,2930.1000000000004,4,1,3,413,413,New Customers,3,Loyal Mid-Tier
1019,157,1,1467.92,3,1,2,312,312,Potential Loyalists,3,Loyal Mid-Tier
1021,188,1,129.83,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1024,76,1,1192.18,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1025,27,2,6104.68,5,4,5,545,545,Champions,1,High-Value Active
1027,301,1,3576.54,1,1,3,113,113,Hibernating,2,Occasional Buyers
1028,299,1,1038.64,1,1,1,111,111,Hibernating,2,Occasional Buyers
1030,210,1,649.1500000000001,2,1,1,211,211,Hibernating,0,Low-Value / Dormant
1031,21,2,3350.56,5,4,3,543,543,Loyal Customers,1,High-Value Active
1033,256,2,3852.28,2,4,4,244,244,At Risk,1,High-Value Active
1035,183,2,5860.200000000001,3,4,5,345,345,Loyal Customers,1,High-Value Active
1038,1,4,9019.210000000001,5,5,5,555,555,Champions,1,High-Value Active
1039,24,1,2568.86,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1040,344,1,4768.72,1,1,4,114,114,Hibernating,2,Occasional Buyers
1042,70,1,908.81,4,1,1,411,411,New Customers,0,Low-Value / Dormant
1043,203,1,4883.5,2,1,4,214,214,Hibernating,2,Occasional Buyers
1047,288,1,3669.8,1,1,3,113,113,Hibernating,2,Occasional Buyers
1049,91,1,3418.4500000000003,4,1,3,413,413,New Customers,3,Loyal Mid-Tier
1053,279,1,6226.92,1,1,5,115,115,Hibernating,2,Occasional Buyers
1054,139,1,1465.0500000000002,3,1,2,312,312,Potential Loyalists,3,Loyal Mid-Tier
1056,150,1,2767.52,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1058,104,1,3906.8,4,1,4,414,414,New Customers,3,Loyal Mid-Tier
1059,89,2,5535.04,4,4,5,445,445,Champions,1,High-Value Active
1060,239,3,6161.58,2,5,5,255,255,At Risk,1,High-Value Active
1061,126,2,3627.7200000000003,3,4,3,343,343,Loyal Customers,1,High-Value Active
1062,185,1,4768.72,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1063,152,1,2767.52,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1066,73,1,1788.27,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1067,269,1,259.66,2,1,1,211,211,Hibernating,0,Low-Value / Dormant
1069,126,1,3418.4500000000003,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1071,99,1,1168.47,4,1,2,412,412,New Customers,0,Low-Value / Dormant
1073,12,2,6238.66,5,4,5,545,545,Champions,1,High-Value Active
1074,323,1,1168.47,1,1,2,112,112,Hibernating,2,Occasional Buyers
1077,133,2,3990.15,3,4,4,344,344,Loyal Customers,1,High-Value Active
1079,9,3,5149.33,5,5,4,554,554,Champions,1,High-Value Active
1080,37,1,366.98,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1083,57,1,519.32,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1085,145,2,1589.29,3,4,2,342,342,Potential Loyalists,1,High-Value Active
1086,85,1,3906.8,4,1,4,414,414,New Customers,3,Loyal Mid-Tier
1089,46,1,2980.4500000000003,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1093,150,1,5364.81,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1094,140,1,488.35,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1096,132,2,7895.5,3,4,5,345,345,Loyal Customers,1,High-Value Active
1097,183,1,1467.92,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1100,128,2,1620.2600000000002,3,4,2,342,342,Potential Loyalists,1,High-Value Active
1101,63,3,7325.25,4,5,5,455,455,Champions,1,High-Value Active
1105,4,1,2201.88,5,1,2,512,512,New Customers,3,Loyal Mid-Tier
1109,73,1,4395.150000000001,4,1,4,414,414,New Customers,3,Loyal Mid-Tier
1110,75,1,4883.5,4,1,4,414,414,New Customers,3,Loyal Mid-Tier
1112,97,2,6605.64,4,4,5,445,445,Champions,1,High-Value Active
1114,237,1,3576.54,2,1,3,213,213,Hibernating,2,Occasional Buyers
1115,14,2,496.81000000000006,5,4,1,541,541,Need Attention,0,Low-Value / Dormant
1116,127,1,6226.92,3,1,5,315,315,Potential Loyalists,3,Loyal Mid-Tier
1117,202,1,259.66,2,1,1,211,211,Hibernating,0,Low-Value / Dormant
1119,256,1,2201.88,2,1,2,212,212,Hibernating,2,Occasional Buyers
1120,286,1,4395.150000000001,1,1,4,114,114,Hibernating,2,Occasional Buyers
1123,43,1,596.09,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1124,19,3,10686.92,5,5,5,555,555,Champions,1,High-Value Active
1125,31,2,6443.85,5,4,5,545,545,Champions,1,High-Value Active
1127,293,1,1038.64,1,1,1,111,111,Hibernating,2,Occasional Buyers
1130,325,1,3576.54,1,1,3,113,113,Hibernating,2,Occasional Buyers
1132,145,1,2930.1000000000004,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1133,80,2,3114.2799999999997,4,4,3,443,443,Loyal Customers,1,High-Value Active
1134,64,3,11517.29,4,5,5,455,455,Champions,1,High-Value Active
1136,285,1,129.83,1,1,1,111,111,Hibernating,0,Low-Value / Dormant
1141,163,3,8099.03,3,5,5,355,355,Loyal Customers,1,High-Value Active
1142,334,1,6226.92,1,1,5,115,115,Hibernating,2,Occasional Buyers
1143,293,1,519.32,1,1,1,111,111,Hibernating,0,Low-Value / Dormant
1144,211,1,129.83,2,1,1,211,211,Hibernating,0,Low-Value / Dormant
1145,124,2,3418.4500000000003,3,4,3,343,343,Loyal Customers,1,High-Value Active
1147,67,1,1298.3000000000002,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1148,38,2,6650.25,5,4,5,545,545,Champions,1,High-Value Active
1149,44,2,2472.7200000000003,5,4,3,543,543,Loyal Customers,1,High-Value Active
1150,192,1,4172.63,2,1,4,214,214,Hibernating,2,Occasional Buyers
1151,167,1,1834.9,3,1,2,312,312,Potential Loyalists,3,Loyal Mid-Tier
1152,227,1,2930.1000000000004,2,1,3,213,213,Hibernating,2,Occasional Buyers
1154,15,1,691.88,5,1,1,511,511,New Customers,0,Low-Value / Dormant
1155,125,2,3889.26,3,4,4,344,344,Loyal Customers,1,High-Value Active
1167,294,1,2930.1000000000004,1,1,3,113,113,Hibernating,2,Occasional Buyers
1170,176,1,4172.63,3,1,4,314,314,Potential Loyalists,3,Loyal Mid-Tier
1171,17,4,13638.94,5,5,5,555,555,Champions,1,High-Value Active
1175,7,1,4843.16,5,1,4,514,514,New Customers,3,Loyal Mid-Tier
1177,117,1,4151.28,4,1,4,414,414,New Customers,3,Loyal Mid-Tier
1180,193,1,1168.47,2,1,2,212,212,Hibernating,0,Low-Value / Dormant
1181,51,1,2980.4500000000003,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1182,312,2,8941.35,1,4,5,145,145,At Risk,2,Occasional Buyers
1184,46,1,2075.64,5,1,2,512,512,New Customers,3,Loyal Mid-Tier
1187,235,1,389.49,2,1,1,211,211,Hibernating,0,Low-Value / Dormant
1188,240,1,1788.27,2,1,2,212,212,Hibernating,2,Occasional Buyers
1189,312,1,733.96,1,1,1,111,111,Hibernating,2,Occasional Buyers
1190,45,3,4341.46,5,5,4,554,554,Champions,1,High-Value Active
1192,305,1,976.7,1,1,1,111,111,Hibernating,2,Occasional Buyers
1193,37,2,3669.8,5,4,3,543,543,Loyal Customers,1,High-Value Active
1194,317,1,733.96,1,1,1,111,111,Hibernating,2,Occasional Buyers
1195,347,1,4843.16,1,1,4,114,114,Hibernating,2,Occasional Buyers
1196,170,1,596.09,3,1,1,311,311,Need Attention,0,Low-Value / Dormant
1197,86,2,2114.2000000000003,4,4,2,442,442,Potential Loyalists,1,High-Value Active
1199,75,1,2201.88,4,1,2,412,412,New Customers,3,Loyal Mid-Tier
1203,147,1,3459.4,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1205,53,1,2568.86,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1210,211,1,1298.3000000000002,2,1,2,212,212,Hibernating,0,Low-Value / Dormant
1211,79,3,4897.700000000001,4,5,4,454,454,Champions,1,High-Value Active
1216,4,1,1788.27,5,1,2,512,512,New Customers,3,Loyal Mid-Tier
1217,184,4,12759.04,3,5,5,355,355,Loyal Customers,1,High-Value Active
1220,47,1,4395.150000000001,5,1,4,514,514,New Customers,3,Loyal Mid-Tier
1222,42,1,1298.3000000000002,5,1,2,512,512,New Customers,3,Loyal Mid-Tier
1223,200,1,3906.8,2,1,4,214,214,Hibernating,2,Occasional Buyers
1224,88,1,4172.63,4,1,4,414,414,New Customers,3,Loyal Mid-Tier
1227,227,1,1192.18,2,1,2,212,212,Hibernating,0,Low-Value / Dormant
1232,214,1,3576.54,2,1,3,213,213,Hibernating,2,Occasional Buyers
1234,1,2,1947.4500000000003,5,4,2,542,542,Potential Loyalists,1,High-Value Active
1235,33,1,2441.75,5,1,3,513,513,New Customers,3,Loyal Mid-Tier
1237,171,1,1467.92,3,1,2,312,312,Potential Loyalists,0,Low-Value / Dormant
1244,232,1,3576.54,2,1,3,213,213,Hibernating,2,Occasional Buyers
1246,263,1,733.96,2,1,1,211,211,Hibernating,0,Low-Value / Dormant
1247,122,1,2568.86,3,1,3,313,313,Potential Loyalists,3,Loyal Mid-Tier
1248,222,1,1465.0500000000002,2,1,2,212,212,Hibernating,2,Occasional Buyers
1251,103,1,6226.92,4,1,5,415,415,New Customers,3,Loyal Mid-Tier
1252,162,1,5960.900000000001,3,1,5,315,315,Potential Loyalists,3,Loyal Mid-Tier
1253,222,2,6739.880000000001,2,4,5,245,245,At Risk,1,High-Value Active
1254,192,1,3302.82,2,1,3,213,213,Hibernating,2,Occasional Buyers
1255,45,2,7325.25,5,4,5,545,545,Champions,1,High-Value Active
1257,69,1,2930.1000000000004,4,1,3,413,413,New Customers,3,Loyal Mid-Tier
1258,137,1,1467.92,3,1,2,312,312,Potential Loyalists,3,Loyal Mid-Tier
1261,237,1,596.09,2,1,1,211,211,Hibernating,0,Low-Value / Dormant
